created_at,approval_status,custom_source,Which of the following best describes your background? ,Which part of AI interests you most?,Pls specify area of interest (if selected other),Are you interested in contributing to the GenAI collective community?,What will you help you best with your AI project or startup ideas? (Helps us plan better programming for you!),Is it ok to share your contact for networking? This is a networking event after all :)
2025-02-24T22:17:22.761Z,approved,,Founder,Business,,Chapter Leadership,,Yes
2025-02-22T14:24:46.357Z,approved,popin,Student,"Startups, Business, Design, Research, Ethics",,"Volunteering at events, Writing blogs/articles on AI, Helping with social media & content, Sponsoring or partnering",,
2025-03-04T00:00:20.864Z,approved,,Researcher,"HealthCare, Research",,"Speaking at future meetups, Writing blogs/articles on AI",,Yes
2025-02-23T15:03:41.525Z,approved,,Researcher,Education,,"Speaking at future meetups, Helping with social media & content",Just Networking for now and potential collaboration between folks,Yes
2025-02-24T14:20:40.386Z,approved,,Engineer,"HealthCare, Education, Startups",,"Volunteering at events, Writing blogs/articles on AI",,Yes
2025-02-24T16:21:49.737Z,approved,substack,Executive,"Startups, Business, Education, HealthCare, Other(pls specify), Finance, Design, CyberSecurity",,,Investment connections ,Yes
2025-02-26T13:59:50.174Z,approved,,"Researcher, Founder",HealthCare,,Sponsoring or partnering,,Yes
2025-03-03T22:09:27.168Z,approved,,"Founder, Operator/Service provider, Engineer","Finance, Business, Startups, HealthCare",,Volunteering at events,Access to talent and networking,Yes
2025-02-21T23:55:57.520Z,approved,,Student,"HealthCare, Business, Startups, Education",,,,
2025-02-22T17:41:53.106Z,approved,,Student,"HealthCare, Startups, Finance, Business, Education",,,,Yes
2025-02-22T16:00:16.300Z,approved,,Media,Education,,Writing blogs/articles on AI,"I""m a communications consultant, former senior management for a government agency. I'm interested in the full range of communications implications.",Yes
2025-03-03T14:04:39.926Z,approved,,Founder,"Research, Business, Design",N/A,"Sponsoring or partnering, Speaking at future meetups, Volunteering at events",N/A,Yes
2025-02-22T21:56:58.327Z,approved,,Investor,Startups,,,,Yes
2025-03-02T01:13:10.723Z,approved,,Founder,Startups,,Speaking at future meetups,having students at events that would be interested in internship opportunities,Yes
2025-03-04T04:15:50.920Z,approved,,"Founder, Executive","Design, Ethics, Research",Property tech applications ,"Speaking at future meetups, Sponsoring or partnering",Models that support conflict mediation for social media,Yes
2025-02-24T20:39:18.564Z,approved,substack,"Founder, Engineer, Researcher",Startups,,Chapter Leadership,,Yes
2025-02-24T20:14:26.717Z,approved,,Investor,"Business, HealthCare, CyberSecurity",,,,Yes
2025-02-20T17:12:33.300Z,approved,,"general/other, student",HealthCare,,"Chapter Leadership, Sponsoring or partnering",Connect me with people in Healthcare!,
2025-02-24T13:16:51.099Z,approved,TechTO,"Engineer, Founder","Startups, Finance",,"Speaking at future meetups, Writing blogs/articles on AI",,Yes
2025-02-26T14:49:49.748Z,approved,,Researcher,Startups,,Volunteering at events,,Yes
2025-03-02T17:56:47.495Z,approved,,Founder,Education,AI Education,"Speaking at future meetups, Writing blogs/articles on AI, Helping with social media & content, Sponsoring or partnering",Access to the AI community,Yes
2025-02-23T02:07:00.984Z,approved,,"Researcher, Engineer","Startups, Research",,,Latest tools coming out,Yes
2025-02-26T15:42:51.287Z,approved,,"Founder, Operator/Service provider, Investor","Business, Startups, Other(pls specify)",,"Speaking at future meetups, Chapter Leadership, Volunteering at events, Writing blogs/articles on AI","working on AI adoption in the engineering and manufacturing industry. New ideas, business leads, collaborators and use cases.",Yes
2025-02-26T01:43:18.165Z,approved,,"Researcher, Engineer","Research, CyberSecurity, Startups, Education, HealthCare, Business",,"Chapter Leadership, Speaking at future meetups",,Yes
2025-02-27T19:34:48.731Z,approved,,Engineer,"Business, HealthCare, Startups, Finance",,Volunteering at events,,Yes
2025-02-23T20:20:16.242Z,approved,,Engineer,"Business, Education, Startups",,,I'm just constantly on the lookout for better ways to use AI to assist in learning (as I work for an edtech startup) and general business process automation,Yes
2025-02-23T20:29:35.759Z,approved,vector,"Researcher, Engineer","Ethics, Research, Startups",,"Volunteering at events, Writing blogs/articles on AI",Would like to meet like-minded individuals working on responsible AI and fairness,Yes
2025-02-24T18:47:57.641Z,approved,substack,Operator/Service provider,"Business, Research",,Speaking at future meetups,Getting workshops on deep tech related to ai + meeting technical people,Yes
2025-02-21T17:19:37.457Z,approved,,"Engineer, Founder",Startups,,Speaking at future meetups,,
2025-02-27T02:36:58.345Z,approved,,Student,"Business, Startups, Finance",,,,Yes
2025-03-04T12:36:38.851Z,approved,,Researcher,"Business, Startups, Finance",,Sponsoring or partnering,,Yes
2025-02-21T20:37:18.404Z,approved,,"Operator/Service provider, General","Education, Startups, Finance",,"Writing blogs/articles on AI, Speaking at future meetups, Volunteering at events, Chapter Leadership, Helping with social media & content",No clue figuring it out at the moment.,
2025-03-02T00:30:37.496Z,approved,,"Executive, Operator/Service provider","Startups, Business, HealthCare",,Volunteering at events,Meeting with AI engineers and brainstorming ideas. I'm currently building an AI agent and an incubator setup in our company. I'm also keen to startup in the AI space so looking for ideas for both,Yes
2025-02-27T23:48:49.143Z,approved,,Student,"Business, Finance, HealthCare",,"Writing blogs/articles on AI, Volunteering at events",,Yes
2025-02-24T18:38:28.441Z,approved,substack,"Founder, Researcher",HealthCare,,Speaking at future meetups,"connecting with VCs, pitching, collaborating with other researchers/ founders",Yes
2025-03-02T15:54:07.780Z,approved,,"Engineer, Student","HealthCare, Research",Gen AI,Volunteering at events,,Yes
2025-03-02T23:50:24.129Z,approved,,Engineer,Startups,,"Writing blogs/articles on AI, Chapter Leadership, Speaking at future meetups",,Yes
2025-02-28T15:57:43.252Z,approved,,"Engineer, Student, Executive","Education, Business, Startups",,,I am looking for ideas to integrate AI application in Education Tech. targeting the teachers.,Yes
2025-02-26T06:25:07.585Z,approved,,"Researcher, Student, General","HealthCare, CyberSecurity, Research, Ethics",,,Networking and technical skills,Yes
2025-02-25T00:30:12.098Z,approved,,Founder,Business,,"Writing blogs/articles on AI, Speaking at future meetups, Volunteering at events, Helping with social media & content",Sharing our projects,Yes
2025-02-26T01:28:23.044Z,approved,,Engineer,"HealthCare, Business",,"Volunteering at events, Speaking at future meetups, Chapter Leadership",,Yes
